iter	MultiClass
123	0.5904342337
124	0.5875364912
125	0.5845161005
126	0.5815681585
127	0.578611724
128	0.5757442147
129	0.5727258096
130	0.5696642275
131	0.5670196714
132	0.5643943336
133	0.5615552335
134	0.5586707939
135	0.556003318
136	0.5533376784
137	0.5507011546
138	0.5481404872
139	0.5455754109
140	0.5431112592
141	0.5406155114
142	0.5381612034
143	0.5356201242
144	0.5335046057
145	0.5311141121
146	0.5288091195
147	0.5265243748
148	0.5242051576
149	0.5219430101
150	0.5195302751
151	0.5172988721
152	0.5152024106
153	0.5130639845
154	0.5108392405
155	0.5085360425
156	0.5063902081
157	0.5043639556
158	0.5022754026
159	0.5001595401
160	0.4980868524
161	0.4960052698
162	0.4939710488
163	0.4918795966
164	0.4899108062
165	0.4880248248
166	0.4861528851
167	0.4841802686
168	0.4822584967
169	0.4803355698
170	0.478361623
171	0.4766137886
172	0.4747917605
173	0.4729250406
174	0.4711802335
175	0.4693740535
176	0.467545494
177	0.4656944043
178	0.4639197845
179	0.4620778816
180	0.460322285
181	0.4585983647
182	0.4570258016
183	0.4554557506
184	0.4539017797
185	0.4523574435
186	0.4507557704
187	0.4492160889
188	0.4476640402
189	0.4459241292
190	0.4443552664
191	0.4430047012
192	0.4413931958
193	0.4399841782
194	0.4386589778
195	0.4372612815
196	0.4359122248
197	0.4345366597
198	0.4331764093
199	0.4318601801
200	0.4304531157
201	0.4292285754
202	0.4279807693
203	0.4266172856
204	0.4253008816
205	0.4240474834
206	0.4227616146
207	0.4213863466
208	0.4201153031
209	0.4187824393
210	0.4175665661
211	0.4163078369
212	0.4149822805
213	0.4138130028
214	0.4126995476
215	0.411450431
216	0.4103299352
217	0.4091015483
218	0.4079201756
219	0.4067050226
220	0.4055562563
221	0.4044167617
222	0.4033243806
223	0.4022575606
224	0.4012668597
225	0.4002840211
226	0.3992559653
227	0.398121975
228	0.3970798654
229	0.3961079256
230	0.394984885
231	0.3940290607
232	0.3929793296
233	0.3918227767
234	0.3908850548
235	0.3898407182
236	0.3888272971
237	0.387775282
238	0.3866629975
239	0.3856571381
240	0.3847912468
241	0.3838236009
242	0.382830237
243	0.3818470737
244	0.3808916472
245	0.3800037522
246	0.3791378147
247	0.3783496529
248	0.377332595
249	0.3764784182
250	0.3755426779
251	0.3745474846
252	0.3737051558
253	0.3728985108
254	0.3720185537
255	0.3712923974
256	0.3705866119
257	0.3696779145
258	0.3688505012
259	0.3680352314
260	0.3671879962
261	0.3663179703
262	0.3655834289
263	0.3648031046
264	0.3640529326
265	0.3633127059
266	0.3625877303
267	0.3618222212
268	0.3610810964
269	0.3603060004
270	0.3595861416
271	0.3588633002
272	0.3581564001
273	0.35725556
274	0.3565074788
275	0.3558345878
276	0.3550589534
277	0.3542681152
278	0.3536421778
279	0.3530358312
280	0.3521411574
281	0.3513897227
282	0.3507468658
283	0.35010731
284	0.3493174552
285	0.3484696852
286	0.3478630026
287	0.3471737338
288	0.3465617467
289	0.3458680627
290	0.3451284071
291	0.3445425229
292	0.3438957072
293	0.3431973407
294	0.3424608605
295	0.341805895
296	0.3412492024
297	0.340575515
298	0.3399452075
299	0.3393538995
300	0.3388589493
301	0.3382514447
302	0.3376360947
303	0.3369295093
304	0.3363445857
305	0.3357898362
306	0.3354188875
307	0.3349012065
308	0.3343838994
309	0.3339602527
310	0.3333879897
311	0.3328215235
312	0.3322066004
313	0.3316420364
314	0.3311185286
315	0.3305847281
316	0.330019679
317	0.3295444021
318	0.3290737729
319	0.3284236337
320	0.3277770151
321	0.3271996579
322	0.3267048047
323	0.3261650286
324	0.3256411942
325	0.3250998627
326	0.324722494
327	0.3242009258
328	0.3237131245
329	0.3230694113
330	0.3225741276
331	0.3220256058
332	0.3215109035
333	0.3209947725
334	0.3204947069
335	0.3200337245
336	0.3195918228
337	0.3190799596
338	0.3186552789
339	0.3182196466
340	0.3177178689
341	0.3172287277
342	0.3166957851
343	0.3163513023
344	0.315971856
345	0.3155022742
346	0.3150420165
347	0.3145670916
348	0.3141077542
349	0.3135665842
350	0.3132107288
351	0.3128964599
352	0.3124816398
353	0.3120483128
354	0.3116972228
355	0.3113040486
356	0.3107789822
357	0.3104698649
358	0.3100675457
359	0.3097469038
360	0.3093712381
361	0.3089457986
362	0.3085857093
363	0.3081425291
364	0.3077245294
365	0.3073101296
366	0.3068367095
367	0.3064245435
368	0.30603991
369	0.3056240635
370	0.3053888299
371	0.3049217752
372	0.3044877354
373	0.304096537
374	0.3036727973
375	0.3033248814
376	0.3028928793
377	0.3025257261
378	0.3021573579
379	0.301859958
380	0.3014902261
381	0.3011517947
382	0.3008188722
383	0.3003989224
384	0.2999873795
385	0.2995749998
386	0.2993154592
387	0.2991010596
388	0.2988367523
389	0.2985225983
390	0.2981457512
391	0.2978708192
392	0.2974901061
393	0.2971962117
394	0.2968016579
395	0.2965280506
396	0.2961651789
397	0.2958584062
398	0.2956018111
399	0.2950549272
400	0.2947307449
401	0.2945157031
402	0.2941606481
403	0.2938837438
404	0.2935991818
405	0.2932772465
406	0.2929330532
407	0.2926259656
408	0.2923034291
409	0.2920029727
410	0.2916720577
411	0.2914549324
412	0.2911521093
413	0.2908471984
414	0.2904204984
415	0.2901953748
416	0.2898095164
417	0.2895140732
418	0.2892460969
419	0.2891481311
420	0.2888289208
421	0.2887472316
422	0.2884979897
423	0.2883343381
424	0.2882272501
425	0.2880308902
426	0.2876557203
427	0.2873545249
428	0.2870770341
429	0.2867285258
430	0.2864922109
431	0.2862326145
432	0.2859263484
433	0.2854789667
434	0.2852418435
435	0.2849172763
436	0.2846170648
437	0.2843207685
438	0.2841041924
439	0.2838273127
440	0.2835681383
441	0.2833645987
442	0.2829643959
443	0.2826867274
444	0.2823449433
445	0.2820926409
446	0.281959478
447	0.2816819993
448	0.2814748771
449	0.281207072
450	0.2809833845
451	0.2807264462
452	0.2804059656
453	0.2800178895
454	0.2797155784
455	0.2794338377
456	0.2791587846
457	0.2789434241
458	0.2787877287
459	0.2785969439
460	0.2782878942
461	0.278067762
462	0.277814793
463	0.2775232835
464	0.2772365566
465	0.2769544899
466	0.2767233191
467	0.2764697365
468	0.2762373242
469	0.2760110603
470	0.2758019519
471	0.2756493178
472	0.2755065566
473	0.2753111244
474	0.2750147826
475	0.274767168
476	0.2745818751
477	0.2743477333
478	0.2739562465
479	0.2737386798
480	0.273525858
481	0.2733511697
482	0.2731884738
483	0.2728406938
484	0.2726578947
485	0.2724302596
486	0.2722939067
487	0.2721643299
488	0.2719331085
489	0.2716899632
490	0.2715716253
491	0.271332024
492	0.2711047927
493	0.2708595361
494	0.2706889362
495	0.2705404677
496	0.2703519354
497	0.2702951365
498	0.2699397894
499	0.2697331768
