iter	MultiClass
0	1.90293788
1	1.863282717
2	1.825242509
3	1.788643275
4	1.754994716
5	1.722818097
6	1.69179034
7	1.662148616
8	1.633201771
9	1.605206067
10	1.578105249
11	1.553321739
12	1.528915741
13	1.50512111
14	1.482623425
15	1.46084573
16	1.439611167
17	1.419025262
18	1.399603047
19	1.379922238
20	1.361457186
21	1.343006106
22	1.325573355
23	1.308424914
24	1.291403548
25	1.275552629
26	1.259529771
27	1.244036865
28	1.228965957
29	1.214620077
30	1.201044464
31	1.187450947
32	1.173865355
33	1.16078066
34	1.147941934
35	1.135023073
36	1.122580526
37	1.110774976
38	1.099421416
39	1.088507783
40	1.077457933
41	1.066334377
42	1.055468637
43	1.04471794
44	1.0341829
45	1.024334342
46	1.014270813
47	1.004551799
48	0.9949877961
49	0.9854314124
50	0.9765721176
51	0.9673606948
52	0.9586741093
53	0.9500887221
54	0.9416433378
55	0.932981285
56	0.9248672822
57	0.9168509599
58	0.9089703605
59	0.9013924736
60	0.8937783463
61	0.8864673019
62	0.8790447354
63	0.8720658009
64	0.8650043961
65	0.8582279669
66	0.8512439173
67	0.8442525152
68	0.8377013785
69	0.8311171977
70	0.824640439
71	0.8184206185
72	0.8121621566
73	0.806037007
74	0.80010113
75	0.7941125737
76	0.7881521908
77	0.7825000166
78	0.7770143641
79	0.7714157449
80	0.7659724248
81	0.7607762863
82	0.7552361732
83	0.7499009063
84	0.7448179873
85	0.7396878203
86	0.7346445105
87	0.7298604429
88	0.7254146351
89	0.7205574142
90	0.7157519025
91	0.711111317
92	0.7066230505
93	0.7020962052
94	0.697652492
95	0.6931397666
96	0.6889041674
97	0.6848482136
98	0.6805317864
99	0.6761235965
100	0.671947944
101	0.6677416038
102	0.663626751
103	0.6597360669
104	0.6557085682
105	0.6517473193
106	0.647924777
107	0.6441844971
108	0.640822537
109	0.6369369089
110	0.6332202921
111	0.629563475
112	0.6261412411
113	0.6225796474
114	0.6191171132
115	0.615731948
116	0.6123924375
117	0.6089738683
118	0.6059040957
119	0.6026604035
120	0.5994376791
121	0.5965054825
122	0.5935468622
