iter	Passed	Remaining
139	316711	814400
140	319360	813124
141	323414	815369
142	325951	813739
143	328190	811359
144	329260	806120
145	331610	804041
146	333677	801279
147	335667	798344
148	337848	795871
149	339814	792899
150	341792	789971
151	343775	787065
152	345795	784254
153	347931	781716
154	350175	779422
155	352143	776520
156	354174	773770
157	356123	770849
158	358123	768051
159	360168	765358
160	362281	762815
161	364545	760594
162	366633	758008
163	368911	755819
164	371160	753568
165	373144	750784
166	375162	748079
167	377202	745423
168	379150	742595
169	381526	740610
170	383735	738298
171	385781	735676
172	387719	732856
173	389642	730019
174	391792	727615
175	393904	725142
176	396444	723455
177	398648	721150
178	400824	718797
179	403303	716984
180	405355	714410
181	407450	711919
182	409563	709463
183	411920	707429
184	413997	704915
185	415995	702271
186	417959	699579
187	420071	697139
188	422788	695700
189	424919	693288
190	426954	690727
191	428942	688095
192	430975	685540
193	433020	683011
194	435115	680564
195	437164	678051
196	439110	675383
197	441181	672913
198	443567	670923
199	445555	668332
200	447556	665768
201	449640	663331
202	451661	660804
203	453875	658564
204	455941	656110
205	457897	653504
206	459914	650989
207	462002	648580
208	464127	646225
209	466191	643788
210	468235	641327
211	470227	638800
212	472295	636379
213	474418	634036
214	476532	631682
215	478764	629487
216	480868	627123
217	483143	624983
218	485193	622553
219	487273	620166
220	489492	617957
221	492043	616162
222	494407	614128
223	496662	611958
224	498735	609566
225	500709	607054
226	503147	605106
227	505185	602677
228	507232	600262
229	509510	598120
230	511573	595728
231	513569	593261
232	515576	590811
233	517655	588445
234	519627	585963
235	521644	583534
236	524206	581714
237	526278	579348
238	528981	577673
239	531616	575917
240	534048	573936
241	536107	571552
242	538206	569214
243	540492	567074
244	546736	569051
245	549087	566944
246	551221	564610
247	554324	563264
248	557259	561735
249	559322	559322
250	561262	556790
251	565192	556220
252	569194	555695
253	573959	555882
254	576713	554097
255	580070	552879
256	583597	551806
257	586084	549738
258	588363	547473
259	590735	545294
260	593214	543211
261	595822	541243
262	598101	538973
263	600282	536616
264	602339	534150
265	604925	532152
266	607053	529750
267	609404	527544
268	611638	525236
269	614064	523091
270	616225	520722
271	618350	518323
272	621140	516479
273	623476	514254
274	625868	512074
275	628380	509989
276	630825	507848
277	633208	505655
278	635611	503477
279	637799	501128
280	641598	500035
281	644660	498354
282	647052	496150
283	649541	494017
284	651896	491781
285	654367	489631
286	656648	487338
287	658913	485033
288	661267	482794
289	663602	480539
290	665850	478222
291	668110	475914
292	670611	473776
293	672985	471547
294	675348	469309
295	678080	467325
296	680737	465285
297	683269	463155
298	685685	460945
299	688131	458754
300	690579	456562
301	692906	454289
302	695620	452267
303	698133	450112
304	700712	447996
305	703187	445811
306	703606	442332
307	706093	440161
308	708683	438053
309	709877	435086
310	712178	432802
311	714510	430538
312	717492	428661
313	719644	426286
314	721874	423958
315	724487	421853
316	727228	419819
317	729618	417580
318	732139	415414
319	734471	413140
320	736879	410907
321	739734	408921
322	742652	406964
323	745463	404942
324	747890	402710
325	750673	400666
326	751395	397527
327	754102	395443
328	756585	393240
329	759877	391452
330	762100	389108
331	764475	386842
332	766868	384585
333	769207	382300
334	771425	379956
335	774175	377871
336	777144	375889
337	780025	373858
338	782411	371587
339	784917	369372
340	787224	367063
341	789543	364760
342	792156	362590
343	794801	360433
344	797480	358288
345	799972	356057
346	802347	353772
347	805691	351911
348	808199	349679
349	810684	347436
350	813102	345162
351	815425	342849
352	817832	340570
353	820444	338375
354	822807	336076
355	825070	333736
356	827272	331372
357	829255	328922
358	832462	326956
359	834556	324549
360	835652	321761
361	837618	319313
362	839683	316905
363	841836	314532
364	844073	312191
365	846296	309846
366	848275	307413
367	850459	305056
368	852615	302690
369	854855	300354
370	855901	297604
371	858626	295441
372	861174	293214
373	863370	290868
374	865341	288447
375	867457	286076
376	869480	283676
377	871517	281283
378	873670	278929
379	875978	276624
380	878000	274231
381	880109	271866
382	882282	269522
383	884867	267303
384	887031	264957
385	889120	262590
386	889528	259733
387	890174	256957
388	892306	254617
389	894869	252398
390	897215	250118
391	900045	247971
392	902324	245671
393	904860	243439
394	907080	241122
395	909815	238941
396	912395	236717
397	914845	234457
398	915864	231835
399	917931	229482
400	920295	227205
401	920899	224497
402	922968	222153
403	925992	220037
404	931375	218470
405	934055	216259
406	936248	213933
407	938548	211633
408	941283	209429
409	943375	207082
410	945463	204735
411	947556	202390
412	950037	200129
413	952027	197764
414	954190	195436
415	956314	193101
416	958443	190769
417	960601	188443
418	963318	186226
419	963537	183530
420	966613	181383
421	967120	178756
422	969324	176449
423	969735	173820
424	969999	171176
425	972023	168849
426	974198	166549
427	976132	164209
428	978198	161892
429	980193	159566
430	982366	157269
431	984605	154984
432	986591	152659
433	988541	150331
434	990485	148003
435	992645	145709
436	994607	143387
437	996664	141080
438	998783	138783
439	1000726	136462
440	1002798	134161
441	1004795	131851
442	1006782	129540
443	1008831	127239
444	1010953	124949
445	1013099	122662
446	1013460	120164
447	1015652	117888
448	1017906	115619
449	1020271	113363
450	1022272	111067
451	1024232	108768
452	1026299	106481
453	1028390	104198
454	1030434	101911
455	1032597	99636
456	1034781	97364
457	1036834	95080
458	1037468	92671
459	1038763	90327
460	1040830	88052
461	1043059	85792
462	1045237	83528
463	1047557	81276
464	1049896	79024
465	1051890	76747
466	1053918	74473
467	1055933	72200
468	1058190	69944
469	1060153	67669
470	1062122	65396
471	1064133	63126
472	1069266	61036
473	1072034	58803
474	1079057	56792
475	1081834	54546
476	1086305	52379
477	1089601	50149
478	1092645	47903
479	1094712	45613
480	1096897	43328
481	1098947	41039
482	1100947	38749
483	1102994	36462
484	1105001	34175
485	1106913	31886
486	1108847	29599
487	1110796	27314
488	1112828	25032
489	1114779	22750
490	1115119	20440
491	1117282	18167
492	1119213	15891
493	1121115	13616
494	1123069	11344
495	1125100	9073
496	1127114	6803
497	1127292	4527
498	1129669	2263
499	1132453	0
